Credit Union,City,Phone
Houston Highway Credit Union,Houston,(713) 864-4438
IBEW Local #681 Credit Union,Wichita Falls,(940) 723-1277
InterCorp Credit Union,Amarillo,(806) 371-7792
InTouch Credit Union,Plano,(214) 291-1776
InvesTex Credit Union,Humble,(281) 449-0109
Jafari No-Interest Credit Union,Houston,(713) 331-1072
Keystone Credit Union,Tyler,(903) 882-4343
LCRA Credit Union,Austin,(737) 212-0030
Lehrer Interests Credit Union,Garwood,(979) 758-3221
LibertyOne Credit Union,Arlington,(469) 212-0238
Light Commerce Credit Union,Houston,(281) 876-7576
Linkage Credit Union,Waco,(254) 754-1168
Lone Star Credit Union,Dallas,(214) 327-9367
Lubrizol Employees' Credit Union,Deer Park,(281) 479-6651
Matagorda County Credit Union,Bay City,(979) 245-8674
MCT Credit Union,Port Neches,(409) 727-1446
Members Choice Credit Union,Houston,(281) 398-9900
Members Credit Union,Cleburne,(817) 641-4031
Members First Credit Union,Corpus Christi,(361) 991-6178
MemberSource Credit Union,Houston,(713) 627-4000
Memorial Credit Union,Houston,(713) 778-6300
Mesquite Credit Union,Mesquite,(972) 285-8951
Metro Medical Credit Union,Dallas,(214) 630-0611
Midland Municipal Employees Credit Union,Midland,(432) 685-7933
Midwestern State University Credit Union,Wichita Falls,(940) 397-4622
Mobility Credit Union,Irving,(214) 574-2000
MTCU,Midland,(432) 688-7300
My Community Credit Union,Midland,(432) 688-8400
My Credit Union,Haslet,(817) 428-2463
Navarro Credit Union,Corsicana,(903) 872-2291
NCE Credit Union,Corpus Christi,(361) 882-4780
Neighborhood Credit Union,Dallas,(214) 748-9393
Oak Farms Employees Credit Union,Houston,(713) 547-7188
Odessa Employees Credit Union,Odessa,(432) 333-2510
P.I.E. Credit Union,Houston,(713) 551-0494
Pampa Municipal Credit Union,Pampa,(806) 665-8875
Paris District Credit Union,Paris,(903) 495-6408
Port of Houston Credit Union,Houston,(713) 670-2424
PosTel Family Credit Union,Wichita Falls,(940) 761-8600
Prestige Community Credit Union,Dallas,(972) 715-4444
Priority Trust Credit Union,Houston,(713) 970-6200
Public Employees Credit Union,Austin,(512) 474-1955
Rally Credit Union,Corpus Christi,(361) 986-4500
Rave Financial Credit Union,Beaumont,(409) 892-1111
Reed Credit Union,Houston,(713) 673-3333
Reeves County Teachers Credit Union,Pecos,(432) 447-6192
Resource One Credit Union,Dallas,(214) 319-3100
Rio Grande Valley Credit Union,Harlingen,(956) 423-5792
Schlumberger Employees Credit Union,Sugar Land,(281) 285-4551
Scott and White Employees Credit Union,Temple,(254) 778-3199
Service 1st Credit Union,Greenville,(903) 457-4686
Shared Resources Credit Union,Pasadena,(713) 473-9244
Skel-Tex Credit Union,Skellytown,(806) 848-2413
Smart Financial Credit Union,Houston,(713) 850-1600
Southern Star Credit Union,Houston,(713) 934-1460
Southwest 66 Credit Union,Odessa,(432) 363-6600
Southwest Heritage Credit Union,Odessa,(432) 367-8993
STAR Financial Credit Union,Corpus Christi,(361) 242-7827
Star of Texas Credit Union,Austin,(512) 458-8253
Sweetex Credit Union,Longview,(903) 234-7283
Tarrant County's Credit Union,Fort Worth,(817) 884-1470
Telco Plus Credit Union,Longview,(903) 753-5588
Temple Santa Fe Community Credit Union,Temple,(254) 778-7222
Tex Mex Credit Union,Laredo,(956) 722-1032
Texans Credit Union,Richardson,(972) 348-2000
Texas Bay Credit Union,Houston,(713) 852-6700
Texas Bridge Credit Union,Corpus Christi,(361) 855-4494
Texas Dow Employees Credit Union,Lake Jackson,(979) 297-1154
Texas DPS Credit Union,Austin,(512) 452-5211
Texas Health Credit Union,Austin,(512) 454-4636
Texas Trust Credit Union,Mansfield,(972) 263-5171
Texell Credit Union,Temple,(254) 773-1604
Texoma Community Credit Union,Wichita Falls,(940) 851-4000
THD District 17 Credit Union,Bryan,(979) 778-8433
Trans Texas Southwest Credit Union,San Angelo,(325) 944-3184
Travis County Credit Union,Austin,(512) 477-2641
Trinity Valley Teachers Credit Union,Palestine,(903) 729-0207
TxDOT Credit Union,Abilene,(325) 676-8925
Tyler City Employees Credit Union,Tyler,(903) 592-8012
U.S. Employees Credit Union,Tomball,(713) 595-3400
Union Pacific Employees Credit Union,Beaumont,(409) 842-2560
Union Square Credit Union,Wichita Falls,(940) 720-8000
United Community Credit Union,Houston,(713) 674-5778
United Credit Union,Tyler,(903) 595-3604
United Energy Credit Union,Humble,(281) 964-1750
United Heritage Credit Union,Austin,(512) 435-4545
United Texas Credit Union,San Antonio,(210) 561-4500
Unity One Credit Union,Fort Worth,(817) 306-3100
VATAT Credit Union,Austin,(512) 472-3258
Velocity Credit Union,Austin,(512) 469-7000
West Texas Credit Union,Odessa,(432) 362-1414
WesTex Community Credit Union,Kermit,(432) 586-6631
Wharton County Teachers Credit Union,Wharton,(979) 532-1930
